% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 14.63    0.000828         138         6 __freading
 12.90    0.000730         730         1 setlocale
 12.29    0.000696         139         5 fileno
 10.40    0.000589         196         3 fclose
  8.44    0.000478         478         1 fread_unlocked
  7.42    0.000420         140         3 fflush
  5.00    0.000283         283         1 posix_fadvise
  4.93    0.000279         279         1 fopen
  4.91    0.000278         139         2 __fpending
  4.19    0.000237         237         1 lseek
  3.36    0.000190         190         1 strrchr
  3.30    0.000187         187         1 getopt_long
  2.84    0.000161         161         1 bindtextdomain
  2.70    0.000153         153         1 textdomain
  2.69    0.000152         152         1 __cxa_atexit
------ ----------- ----------- --------- --------------------
100.00    0.005661                    29 total
