% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 50.50    0.007508        3754         2 open
  6.33    0.000941         156         6 __freading
  5.23    0.000777         259         3 fclose
  4.42    0.000657         164         4 fileno
  4.14    0.000615         307         2 close
  4.09    0.000608         304         2 __fxstat
  3.34    0.000496         165         3 free
  3.26    0.000484         161         3 __fpending
  3.24    0.000482         160         3 fflush
  1.99    0.000296         296         1 getpagesize
  1.88    0.000280         280         1 posix_fadvise
  1.65    0.000245         245         1 read
  1.54    0.000229         114         2 malloc
  1.41    0.000209         209         1 lseek
  1.34    0.000199          66         3 __xstat
  1.32    0.000196          65         3 __errno_location
  0.95    0.000141         141         1 setlocale
  0.63    0.000094          47         2 getenv
  0.44    0.000065          65         1 geteuid
  0.35    0.000052          52         1 strrchr
  0.34    0.000051          51         1 getopt_long
  0.34    0.000050          50         1 bindtextdomain
  0.33    0.000049          49         1 is_selinux_enabled
  0.32    0.000048          48         1 textdomain
  0.32    0.000048          48         1 calloc
  0.32    0.000047          47         1 __cxa_atexit
------ ----------- ----------- --------- --------------------
100.00    0.014867                    51 total
