% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 23.73    0.011729          46       254 strlen
 16.20    0.008009          46       173 malloc
 11.96    0.005914          46       128 memcpy
  6.61    0.003267          42        76 iswprint
  5.85    0.002891          48        60 sscanf
  3.43    0.001697          43        39 free
  3.24    0.001604          51        31 __getdelim
  2.87    0.001417          47        30 strstr
  2.78    0.001376          45        30 strchr
  2.64    0.001307          43        30 __ctype_get_mb_cur_max
  2.62    0.001297          43        30 strcmp
  2.25    0.001110          46        24 mbstowcs
  1.95    0.000962          43        22 realloc
  1.36    0.000672          74         9 dcgettext
  1.22    0.000602          43        14 strncmp
  1.13    0.000559          46        12 __overflow
  1.12    0.000553          46        12 fputs_unlocked
  1.05    0.000521          43        12 mempcpy
  1.05    0.000521          43        12 wcswidth
  1.05    0.000517          43        12 __ctype_b_loc
  0.52    0.000256          42         6 __freading
  0.48    0.000236          59         4 getenv
  0.45    0.000220          44         5 __strdup
  0.42    0.000209          69         3 fclose
  0.42    0.000208         208         1 setlocale
  0.36    0.000178          44         4 localeconv
  0.36    0.000177          44         4 fileno
  0.30    0.000146          48         3 __snprintf_chk
  0.26    0.000131          43         3 fflush
  0.26    0.000131          43         3 __errno_location
  0.22    0.000108         108         1 canonicalize_file_name
  0.18    0.000087          43         2 __fpending
  0.15    0.000075          75         1 statvfs
  0.15    0.000072          72         1 open
  0.14    0.000071          71         1 fopen
  0.13    0.000064          64         1 __fxstat
  0.13    0.000064          64         1 close
  0.12    0.000059          59         1 uname
  0.12    0.000059          59         1 __xstat
  0.12    0.000058          58         1 lseek
  0.11    0.000054          54         1 bindtextdomain
  0.11    0.000054          54         1 getopt_long
  0.11    0.000052          52         1 strrchr
  0.10    0.000049          49         1 textdomain
  0.10    0.000048          48         1 __cxa_atexit
  0.09    0.000044          44         1 strverscmp
------ ----------- ----------- --------- --------------------
100.00    0.049435                  1063 total
