% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 14.51    0.000447          74         6 __freading
 12.34    0.000380          76         5 fileno
 10.62    0.000327         327         1 setlocale
 10.42    0.000321         107         3 fclose
  7.21    0.000222          74         3 fflush
  5.10    0.000157         157         1 __uflow
  5.00    0.000154          77         2 getopt_long
  4.87    0.000150          75         2 __errno_location
  4.68    0.000144          72         2 __fpending
  3.77    0.000116         116         1 fopen
  3.25    0.000100         100         1 posix_fadvise
  3.15    0.000097          97         1 lseek
  2.60    0.000080          80         1 __ctype_b_loc
  2.60    0.000080          80         1 strrchr
  2.53    0.000078          78         1 bindtextdomain
  2.50    0.000077          77         1 strtoul
  2.44    0.000075          75         1 textdomain
  2.44    0.000075          75         1 __cxa_atexit
------ ----------- ----------- --------- --------------------
100.00    0.003080                    34 total
