% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 24.25    0.012102          44       269 __errno_location
 21.38    0.010668          44       240 __ctype_get_mb_cur_max
 13.53    0.006751          46       146 strcoll
 11.59    0.005786          45       127 __overflow
  6.20    0.003094          54        57 memcpy
  5.20    0.002595          55        47 malloc
  5.18    0.002585          57        45 readdir
  4.62    0.002307          56        41 strlen
  3.61    0.001800          45        40 fwrite_unlocked
  0.90    0.000451          56         8 getenv
  0.39    0.000196          49         4 free
  0.36    0.000181         181         1 setlocale
  0.36    0.000179          44         4 __freading
  0.27    0.000134          67         2 fclose
  0.25    0.000126         126         1 isatty
  0.19    0.000094          94         1 __cxa_atexit
  0.19    0.000093          46         2 __fpending
  0.18    0.000091          45         2 fflush
  0.18    0.000090          45         2 fileno
  0.17    0.000086          86         1 opendir
  0.16    0.000080          80         1 closedir
  0.15    0.000073          73         1 ioctl
  0.13    0.000063          63         1 bindtextdomain
  0.13    0.000063          63         1 getopt_long
  0.12    0.000060          60         1 strrchr
  0.12    0.000058          58         1 textdomain
  0.11    0.000055          55         1 _setjmp
  0.09    0.000045          45         1 realloc
------ ----------- ----------- --------- --------------------
100.00    0.049906                  1048 total
