% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 23.29    0.000740          46        16 __printf_chk
 15.17    0.000482          48        10 __overflow
  8.65    0.000275          45         6 fileno
  8.46    0.000269          44         6 __freading
  6.54    0.000208          69         3 fclose
  6.01    0.000191         191         1 setlocale
  4.12    0.000131          43         3 fflush
  3.24    0.000103          51         2 __fpending
  2.99    0.000095          95         1 fread_unlocked
  2.74    0.000087          43         2 strchr
  2.14    0.000068          68         1 fopen
  1.86    0.000059          59         1 posix_fadvise
  1.79    0.000057          57         1 lseek
  1.54    0.000049          49         1 strrchr
  1.48    0.000047          47         1 memcpy
  1.48    0.000047          47         1 bindtextdomain
  1.45    0.000046          46         1 malloc
  1.45    0.000046          46         1 getopt_long
  1.42    0.000045          45         1 setvbuf
  1.42    0.000045          45         1 textdomain
  1.38    0.000044          44         1 free
  1.38    0.000044          44         1 __cxa_atexit
------ ----------- ----------- --------- --------------------
100.00    0.003178                    62 total
