% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 63.29    0.022983       11491         2 __uflow
 13.38    0.004858          77        63 strcmp
  8.26    0.003001         115        26 malloc
  2.90    0.001052         131         8 strlen
  2.84    0.001030         128         8 memcpy
  1.62    0.000587          73         8 puts
  1.23    0.000448         448         1 realloc
  0.96    0.000349          58         6 fileno
  0.95    0.000346         346         1 setlocale
  0.80    0.000291          48         6 __freading
  0.64    0.000232          77         3 fclose
  0.47    0.000170         170         1 freopen
  0.44    0.000159          79         2 getopt_long
  0.40    0.000146          48         3 fflush
  0.28    0.000103         103         1 posix_fadvise
  0.26    0.000096          48         2 __fpending
  0.23    0.000083          83         1 bindtextdomain
  0.23    0.000082          82         1 strrchr
  0.21    0.000078          78         1 textdomain
  0.21    0.000078          78         1 __cxa_atexit
  0.21    0.000078          78         1 __errno_location
  0.18    0.000064          64         1 lseek
------ ----------- ----------- --------- --------------------
100.00    0.036314                   147 total
