% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 86.55    0.077541       38770         2 __uflow
  2.29    0.002049          49        41 __errno_location
  1.67    0.001492          71        21 fwrite_unlocked
  1.05    0.000939         156         6 fileno
  1.01    0.000902         451         2 setlocale
  1.00    0.000900          45        20 strcoll
  1.00    0.000897          44        20 memcmp
  0.81    0.000723         120         6 __freading
  0.65    0.000584         194         3 fclose
  0.61    0.000548         274         2 getopt_long
  0.54    0.000480         480         1 freopen
  0.47    0.000420         210         2 free
  0.41    0.000364         121         3 fflush
  0.36    0.000319         159         2 __fpending
  0.33    0.000296         296         1 posix_fadvise
  0.23    0.000205         205         1 getenv
  0.22    0.000200         200         1 strrchr
  0.20    0.000175          87         2 realloc
  0.19    0.000169         169         1 bindtextdomain
  0.18    0.000164         164         1 __cxa_atexit
  0.18    0.000161         161         1 textdomain
  0.07    0.000060          60         1 lseek
------ ----------- ----------- --------- --------------------
100.00    0.089588                   140 total
