% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 39.73    0.001631         148        11 getutxent
  6.58    0.000270          45         6 realloc
  4.87    0.000200         200         1 setlocale
  4.29    0.000176          44         4 free
  4.24    0.000174          43         4 __freading
  3.26    0.000134          67         2 fclose
  3.24    0.000133          44         3 malloc
  3.02    0.000124          62         2 fputs_unlocked
  2.87    0.000118          59         2 kill
  2.75    0.000113          56         2 __overflow
  2.66    0.000109         109         1 qsort
  2.24    0.000092          92         1 setutxent
  2.22    0.000091          45         2 fileno
  2.17    0.000089          44         2 __fpending
  2.17    0.000089          44         2 fflush
  2.14    0.000088          44         2 strncpy
  2.14    0.000088          44         2 strlen
  1.46    0.000060          60         1 endutxent
  1.19    0.000049          49         1 utmpxname
  1.19    0.000049          49         1 getopt_long
  1.14    0.000047          47         1 bindtextdomain
  1.12    0.000046          46         1 strcmp
  1.10    0.000045          45         1 strrchr
  1.10    0.000045          45         1 textdomain
  1.10    0.000045          45         1 __cxa_atexit
------ ----------- ----------- --------- --------------------
100.00    0.004105                    57 total
