% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 11.74    0.000405          45         9 iswprint
 11.74    0.000405          45         9 wcwidth
 11.65    0.000402          44         9 iswspace
  6.49    0.000224          56         4 __printf_chk
  5.62    0.000194         194         1 setlocale
  5.19    0.000179          44         4 __freading
  3.94    0.000136          68         2 fclose
  3.59    0.000124          62         2 read
  3.57    0.000123         123         1 mbrtowc
  2.90    0.000100         100         1 open
  2.72    0.000094          47         2 __ctype_get_mb_cur_max
  2.67    0.000092          46         2 malloc
  2.64    0.000091          45         2 __fpending
  2.64    0.000091          45         2 fileno
  2.61    0.000090          45         2 free
  2.61    0.000090          45         2 fflush
  2.55    0.000088          88         1 __xstat
  2.03    0.000070          70         1 __overflow
  1.86    0.000064          64         1 close
  1.80    0.000062          62         1 posix_fadvise
  1.39    0.000048          48         1 strrchr
  1.36    0.000047          47         1 setvbuf
  1.36    0.000047          47         1 bindtextdomain
  1.36    0.000047          47         1 getopt_long
  1.33    0.000046          46         1 mbsinit
  1.33    0.000046          46         1 __cxa_atexit
  1.30    0.000045          45         1 textdomain
------ ----------- ----------- --------- --------------------
100.00    0.003450                    65 total
