% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 20.01    0.001667         151        11 getutxent
 11.60    0.000966          43        22 memcpy
 10.61    0.000884          44        20 __snprintf_chk
  8.38    0.000698          43        16 __errno_location
  7.46    0.000621          44        14 realloc
  5.57    0.000464          46        10 free
  4.72    0.000393          43         9 malloc
  3.29    0.000274          45         6 strlen
  2.95    0.000246         123         2 localtime
  2.80    0.000233         116         2 setlocale
  2.79    0.000232          46         5 __sprintf_chk
  2.19    0.000182          91         2 puts
  2.09    0.000174          43         4 __freading
  1.56    0.000130          65         2 fclose
  1.45    0.000121          60         2 __xstat
  1.40    0.000117          58         2 kill
  1.12    0.000093          93         1 setutxent
  1.09    0.000091          45         2 strftime
  1.07    0.000089          44         2 strchr
  1.06    0.000088          44         2 fflush
  1.06    0.000088          44         2 fileno
  1.04    0.000087          43         2 __fpending
  0.72    0.000060          60         1 endutxent
  0.60    0.000050          50         1 utmpxname
  0.59    0.000049          49         1 bindtextdomain
  0.59    0.000049          49         1 getopt_long
  0.56    0.000047          47         1 __cxa_atexit
  0.55    0.000046          46         1 strrchr
  0.54    0.000045          45         1 time
  0.54    0.000045          45         1 textdomain
------ ----------- ----------- --------- --------------------
100.00    0.008329                   148 total
